动作名,动作URL,动作简介,适用于,作者,作者URL,动作大小,创建时间,修订版本,更新内容,inputtime
OCR4.0,https://getquicker.net/Sharedaction?code=1e452623-06b4-4234-a446-08dbf16456ca,完全离线高识别率OCR4.0，自动复制排版(合并单行、自然段、代码段、竖排-从左到右、竖排-从右到左)到剪贴板,通用,Qyu,https://getquicker.net/User/183510/Qyu,25.5 KB,2023-12-01 11:12,4,"1. Python启动还是慢了，用C++全部重写了一下OCR
2. 处理方式为单行时，好像有bug，文本多的时候，剪贴板会获取不到文本，其他方式实验了一下，竖排的，不太了乐观，就不加入了
3. 自然段处理方式没有时间编写也不加入了，想用单排的话，可以自行加入quiker动作。
4. 其他语言测试没有问题",2024-02-18
截图保存,https://getquicker.net/Sharedaction?code=c83195eb-ce62-4b7f-b980-08dbe7797a52,截图后自动保存到指定目录并按指定格式命名,通用,ataa,https://getquicker.net/User/818193/ataa,150.2 KB,2023-11-18 23:11,14,修复生成名称时存在的已知问题,2024-02-18
桌面便签,https://getquicker.net/Sharedaction?code=8235d8c9-7eee-46b4-5d8f-08dc207356cf,和桌面浑然一体的便签,通用,kioor,https://getquicker.net/User/585180/kioor,140.7 KB,2024-01-29 16:18,10,新增到期提醒功能,2024-02-18
超级操作窗,https://getquicker.net/Sharedaction?code=1671d505-abeb-45df-a274-08dc0740f11f,【打造属于自己的万能工具箱】网址/搜索/程序/文件(夹)/动作/命令/面板/VBA宏/脚本/键鼠操作/文本替换/常用语/颜色收藏……,通用,咿呀杀杀,https://getquicker.net/User/19337/%E5%92%BF%E5%91%80%E6%9D%80%E6%9D%80,343.1 KB,2023-12-29 09:54,16,"v2.3.0 (2024-02-17)
- 【功能】新增「多步骤输入」生成器
- 【其他】取消VBA错误提示
- 【其他】代码优化",2024-02-18
